"filename", "language", "Meson", "Markdown", "Vala", "Properties", "Blueprint", "PostCSS", "XML", "SVG", "YAML", "comment", "blank", "total"
"/var/home/rirusha/Projects/ReadySet/plugins/language/data/ui/page.blp", "Blueprint", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"/var/home/rirusha/Projects/ReadySet/plugins/language/data/ui/row.blp", "Blueprint", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"/var/home/rirusha/Projects/ReadySet/plugins/language/locale-data.vala", "Vala", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/var/home/rirusha/Projects/ReadySet/plugins/language/meson.build", "Meson", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/var/home/rirusha/Projects/ReadySet/plugins/language/page.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 52
"/var/home/rirusha/Projects/ReadySet/plugins/language/plugin.vala", "Vala", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 20, 103
"/var/home/rirusha/Projects/ReadySet/plugins/language/row.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 61
"/var/home/rirusha/Projects/ReadySet/plugins/language/select-title.vala", "Vala", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 21, 99
"/var/home/rirusha/Projects/ReadySet/plugins/language/utils.vala", "Vala", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 11, 88
"/var/home/rirusha/Projects/ReadySet/plugins/meson.build", "Meson", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/var/home/rirusha/Projects/ReadySet/plugins/test/data/meson.build", "Meson", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/var/home/rirusha/Projects/ReadySet/plugins/test/data/org.altlinux.ReadySet.Plugin.Test.gresource.xml", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"/var/home/rirusha/Projects/ReadySet/plugins/test/data/ui/error-page.blp", "Blueprint", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"/var/home/rirusha/Projects/ReadySet/plugins/test/data/ui/page.blp", "Blueprint", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"/var/home/rirusha/Projects/ReadySet/plugins/test/error-page.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 32
"/var/home/rirusha/Projects/ReadySet/plugins/test/meson.build", "Meson", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/var/home/rirusha/Projects/ReadySet/plugins/test/page.vala", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 27
"/var/home/rirusha/Projects/ReadySet/plugins/test/plugin.vala", "Vala", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/var/home/rirusha/Projects/ReadySet/plugins/user/README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"/var/home/rirusha/Projects/ReadySet/plugins/user/avatar-chooser.vala", "Vala", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 28, 131
"/var/home/rirusha/Projects/ReadySet/plugins/user/config.vapi", "Vala", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/var/home/rirusha/Projects/ReadySet/plugins/user/context-row.vala", "Vala", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 8, 47
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/assets/icons/rs-random-symbolic.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/assets/icons/system-users-symbolic.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/meson.build", "Meson", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/org.altlinux.ReadySet.Plugin.User.gresource.xml", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/style.css", "PostCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 2, 11
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/tools/meson.build", "Meson", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/ui/avatar-chooser.blp", "Blueprint", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/ui/context-row.blp", "Blueprint", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/ui/margin-label.blp", "Blueprint", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/ui/page-password.blp", "Blueprint", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 24, 127
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/ui/page-username.blp", "Blueprint", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 19, 100
"/var/home/rirusha/Projects/ReadySet/plugins/user/data/ui/password-strength.blp", "Blueprint", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"/var/home/rirusha/Projects/ReadySet/plugins/user/margin-label.vala", "Vala", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/var/home/rirusha/Projects/ReadySet/plugins/user/meson.build", "Meson", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 80
"/var/home/rirusha/Projects/ReadySet/plugins/user/page-password.vala", "Vala", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 29, 210
"/var/home/rirusha/Projects/ReadySet/plugins/user/page-username.vala", "Vala", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 26, 164
"/var/home/rirusha/Projects/ReadySet/plugins/user/passwdqc-utils.vala", "Vala", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 9, 75
"/var/home/rirusha/Projects/ReadySet/plugins/user/password-strength.vala", "Vala", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/var/home/rirusha/Projects/ReadySet/plugins/user/plugin.vala", "Vala", 0, 0, 82, 0, 0, 0, 0, 0, 0, 2, 15, 99
"/var/home/rirusha/Projects/ReadySet/plugins/user/pwquality-utils.vala", "Vala", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 14, 122
"/var/home/rirusha/Projects/ReadySet/plugins/user/utils.vala", "Vala", 0, 0, 221, 0, 0, 0, 0, 0, 0, 1, 54, 276
"/var/home/rirusha/Projects/ReadySet/plugins/user/vapi/passwdqc.vapi", "Vala", 0, 0, 104, 0, 0, 0, 0, 0, 0, 12, 13, 129
"/var/home/rirusha/Projects/ReadySet/plugins/user/vapi/pwquality.vapi", "Vala", 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 117
"/var/home/rirusha/Projects/ReadySet/plugins/welcome/data/assets/icons/altmobile-symbolic.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"/var/home/rirusha/Projects/ReadySet/plugins/welcome/data/meson.build", "Meson", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/var/home/rirusha/Projects/ReadySet/plugins/welcome/data/org.altlinux.ReadySet.Plugin.Welcome.gresource.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/var/home/rirusha/Projects/ReadySet/plugins/welcome/data/style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/var/home/rirusha/Projects/ReadySet/plugins/welcome/data/ui/page.blp", "Blueprint", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"/var/home/rirusha/Projects/ReadySet/plugins/welcome/meson.build", "Meson", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
